Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages,0-6 Days,7-27 Days,28-364 Days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80+ years
Diarrhoeal diseases,Sewer,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Typhoid fever,Unimproved & untreated,Both,Both,,"3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)","3.234
(2.772 to 3.701)"
Typhoid fever,Improved,Both,Both,,"2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)","2.705
(2.540 to 2.877)"
Typhoid fever,Sewer,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Paratyphoid fever,Unimproved & untreated,Both,Both,,"3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)","3.236
(2.778 to 3.725)"
Paratyphoid fever,Improved,Both,Both,,"2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)","2.715
(2.560 to 2.870)"
Paratyphoid fever,Sewer,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
No handwashing with soap,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,No handwashing w/soap & water,Both,Both,"1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)","1.673
(1.483 to 1.878)"
Diarrhoeal diseases,Handwashing w/soap & water,Both,Both,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Typhoid fever,No handwashing w/soap & water,Both,Both,"1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)","1.667
(1.461 to 1.875)"
Typhoid fever,Handwashing w/soap & water,Both,Both,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Paratyphoid fever,No handwashing w/soap & water,Both,Both,"1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)","1.665
(1.459 to 1.888)"
Paratyphoid fever,Handwashing w/soap & water,Both,Both,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Lower respiratory infections,No handwashing w/soap & water,Both,Both,"1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)","1.192
(1.124 to 1.266)"
Lower respiratory infections,Handwashing w/soap & water,Both,Both,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Household air pollution from solid fuels,,,,,,,,,,,,,,,,,,,,,,,,
Cataract,Exposed,Morbidity,Both,,,,,,,,"2.522
(1.599 to 3.739)","2.496
(1.595 to 3.701)","2.513
(1.707 to 3.724)","2.512
(1.578 to 3.800)","2.513
(1.622 to 3.687)","2.511
(1.624 to 3.731)","2.518
(1.622 to 3.726)","2.545
(1.680 to 3.785)","2.532
(1.612 to 3.645)","2.522
(1.651 to 3.680)","2.539
(1.633 to 3.745)","2.518
(1.622 to 3.796)","2.509
(1.638 to 3.589)","2.497
(1.610 to 3.634)"
Cataract,Not exposed,Morbidity,Both,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Ambient ozone pollution,,,,,,,,,,,,,,,,,,,,,,,,
Chronic obstructive pulmonary disease,10 ppb,Mortality,Both,,,,,,,,,,"1.029
(1.010 to 1.048)","1.029
(1.010 to 1.048)","1.029
(1.009 to 1.048)","1.029
(1.010 to 1.048)","1.028
(1.008 to 1.048)","1.030
(1.011 to 1.049)","1.029
(1.011 to 1.047)","1.029
(1.010 to 1.048)","1.029
(1.010 to 1.048)","1.029
(1.012 to 1.048)","1.029
(1.010 to 1.049)","1.029
(1.010 to 1.049)"
Residential radon,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",Bq/m3,Both,Both,,"1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)","1.002
(1.000 to 1.003)"
Lead exposure,,,,,,,,,,,,,,,,,,,,,,,,
Rheumatic heart disease,10 µg/g,Morbidity,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Rheumatic heart disease,10 µg/g,Mortality,Both,,,,,,,,,,"1.040
(0.991 to 1.088)","1.035
(0.996 to 1.086)","1.028
(1.001 to 1.080)","1.023
(0.998 to 1.079)","1.022
(0.998 to 1.074)","1.021
(0.998 to 1.074)","1.020
(0.998 to 1.073)","1.018
(0.996 to 1.074)","1.017
(0.993 to 1.072)","1.016
(0.994 to 1.074)","1.017
(0.992 to 1.077)","1.016
(0.993 to 1.075)"
Ischaemic heart disease,10 µg/g,Both,Both,,,,,,,,,,"1.049
(1.010 to 1.083)","1.042
(1.013 to 1.071)","1.033
(1.022 to 1.046)","1.028
(1.017 to 1.039)","1.027
(1.019 to 1.037)","1.026
(1.018 to 1.035)","1.024
(1.017 to 1.033)","1.022
(1.013 to 1.031)","1.019
(1.011 to 1.027)","1.017
(1.009 to 1.025)","1.015
(1.007 to 1.023)","1.012
(1.004 to 1.021)"
Ischaemic stroke,10 µg/g,Both,Both,,,,,,,,,,"1.056
(1.022 to 1.088)","1.052
(1.027 to 1.079)","1.047
(1.039 to 1.056)","1.042
(1.034 to 1.050)","1.039
(1.034 to 1.043)","1.035
(1.031 to 1.040)","1.031
(1.028 to 1.035)","1.028
(1.024 to 1.032)","1.024
(1.021 to 1.028)","1.021
(1.018 to 1.024)","1.017
(1.013 to 1.021)","1.008
(1.004 to 1.013)"
Hemorrhagic stroke,10 µg/g,Both,Both,,,,,,,,,,"1.062
(1.026 to 1.093)","1.058
(1.031 to 1.086)","1.052
(1.037 to 1.067)","1.046
(1.034 to 1.058)","1.042
(1.031 to 1.055)","1.038
(1.026 to 1.051)","1.034
(1.023 to 1.047)","1.030
(1.018 to 1.043)","1.026
(1.015 to 1.037)","1.022
(1.010 to 1.035)","1.018
(1.006 to 1.030)","1.010
(0.999 to 1.024)"
Hypertensive heart disease,10 µg/g,Both,Both,,,,,,,,,,"1.049
(1.010 to 1.083)","1.042
(1.013 to 1.071)","1.033
(1.022 to 1.046)","1.028
(1.017 to 1.039)","1.027
(1.019 to 1.037)","1.026
(1.018 to 1.035)","1.024
(1.017 to 1.033)","1.022
(1.013 to 1.031)","1.019
(1.011 to 1.027)","1.017
(1.009 to 1.025)","1.015
(1.007 to 1.023)","1.012
(1.004 to 1.021)"
Cardiomyopathy and myocarditis,10 µg/g,Morbidity,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Cardiomyopathy and myocarditis,10 µg/g,Mortality,Both,,,,,,,,,,"1.045
(0.992 to 1.089)","1.041
(1.002 to 1.088)","1.034
(1.008 to 1.084)","1.029
(1.005 to 1.081)","1.027
(1.004 to 1.080)","1.026
(1.004 to 1.076)","1.025
(1.003 to 1.074)","1.023
(1.001 to 1.076)","1.022
(1.001 to 1.073)","1.020
(1.000 to 1.073)","1.018
(0.995 to 1.069)","1.018
(0.995 to 1.074)"
Atrial fibrillation and flutter,10 µg/g,Both,Both,,,,,,,,,,"1.040
(1.005 to 1.072)","1.033
(1.006 to 1.060)","1.026
(1.018 to 1.033)","1.021
(1.013 to 1.028)","1.021
(1.016 to 1.025)","1.020
(1.015 to 1.023)","1.018
(1.015 to 1.021)","1.016
(1.013 to 1.019)","1.015
(1.012 to 1.017)","1.013
(1.010 to 1.015)","1.011
(1.009 to 1.014)","1.008
(1.005 to 1.011)"
Aortic aneurysm,10 µg/g,Both,Both,,,,,,,,,,"1.053
(0.998 to 1.092)","1.048
(1.007 to 1.090)","1.041
(1.013 to 1.090)","1.036
(1.010 to 1.090)","1.034
(1.010 to 1.087)","1.032
(1.007 to 1.088)","1.030
(1.008 to 1.084)","1.028
(1.006 to 1.081)","1.026
(1.004 to 1.080)","1.025
(1.002 to 1.080)","1.024
(1.004 to 1.077)","1.022
(1.000 to 1.078)"
Peripheral vascular disease,10 µg/g,Both,Both,,,,,,,,,,"1.040
(1.005 to 1.072)","1.033
(1.006 to 1.060)","1.026
(1.018 to 1.033)","1.021
(1.013 to 1.028)","1.021
(1.016 to 1.025)","1.020
(1.015 to 1.023)","1.018
(1.015 to 1.021)","1.016
(1.013 to 1.019)","1.015
(1.012 to 1.017)","1.013
(1.010 to 1.015)","1.011
(1.009 to 1.014)","1.008
(1.005 to 1.011)"
Endocarditis,10 µg/g,Morbidity,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Endocarditis,10 µg/g,Mortality,Both,,,,,,,,,,"1.045
(0.992 to 1.089)","1.041
(1.002 to 1.088)","1.034
(1.008 to 1.084)","1.029
(1.005 to 1.081)","1.027
(1.004 to 1.080)","1.026
(1.004 to 1.076)","1.025
(1.003 to 1.074)","1.023
(1.001 to 1.076)","1.022
(1.001 to 1.073)","1.020
(1.000 to 1.073)","1.018
(0.995 to 1.069)","1.018
(0.995 to 1.074)"
Other cardiovascular and circulatory diseases,10 µg/g,Both,Both,,,,,,,,,,"1.040
(1.005 to 1.072)","1.033
(1.006 to 1.060)","1.026
(1.018 to 1.033)","1.021
(1.013 to 1.028)","1.021
(1.016 to 1.025)","1.020
(1.015 to 1.023)","1.018
(1.015 to 1.021)","1.016
(1.013 to 1.019)","1.015
(1.012 to 1.017)","1.013
(1.010 to 1.015)","1.011
(1.009 to 1.014)","1.008
(1.005 to 1.011)"
Chronic kidney disease due to diabetes mellitus,10 µg/g,Both,Both,,,,,,,,,,"1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)"
Chronic kidney disease due to hypertension,10 µg/g,Both,Both,,,,,,,,,,"1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)"
Chronic kidney disease due to glomerulonephritis,10 µg/g,Both,Both,,,,,,,,,,"1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)"
Chronic kidney disease due to other causes,10 µg/g,Both,Both,,,,,,,,,,"1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)","1.013
(1.009 to 1.017)"
Occupational exposure to asbestos,,,,,,,,,,,,,,,,,,,,,,,,
Larynx cancer,High exposure,Both,Male,,,,,,,,"1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)","1.380
(1.188 to 1.612)"
Larynx cancer,Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Larynx cancer,No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Larynx cancer,High exposure,Both,Female,,,,,,,,"1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)"
Larynx cancer,Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Larynx cancer,No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)","2.279
(1.740 to 2.936)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)","1.655
(1.501 to 1.809)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)","1.875
(1.588 to 2.213)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)","1.520
(1.461 to 1.580)"
